id,objectid,parentid,title,display_template,format,type,object_location,image_small,image_thumb,credits,caption,represents,uri,accession_number,actual_weight,architect,architect_evidence,architectural_order,assoc_building,attributed_by,beazley_number,building_type,category,ceramic_phase,collection,collection_history,commentary,comparanda,condit,condition_description,context,context_mod,culture,date_description,date_for_sort,decoration_description,denomination,description,die_axis,dimensions,documentary_references,donor,end_date,end_mod,entered_by,essay_number,essay_text,exploration,extent,findspot,findspot_mod,form_style_description,graffiti,history,human_name,image,images,in_group,in_whole,inscription,inscription_bibliography,inscriptions,issuing_authority,location,material,material_description,name,object_function,obverse_legend,obverse_type,original,original_or_copy,other_bibliography,other_notes,painter,painter_mod,period,period_for_sort,periods,perseus_version,physical,placement,plan,potter,potter_mod,primary_citation,region,relief,reverse_legend,reverse_type,scale,scale_for_sort,sculptor,sculptor_mod,sculpture_type,see_also,shape,shape_description,site_type,sources_used,start_date,start_mod,style,subject_description,summary,technique,technique_description,objtype,unitary_date,unitary_mod,ware
aa_1,aa_1,,"Aegina, Altar of Aphaia",compound_object,compound_object,record,http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/^50,/0/default.jpg",,,,,,,,,,,,,Altar,,,,,,,,,"Aegina, Sanctuary of Aphaia",,,,-500.0,,,,,,,,,,,,,,,,,,,<P>In each of 4 building phases in the sanctuary the altar underwent changes. Ca. 700 B.C. a small rectangular altar was located to the west of the ca. 500 B.C. altar. Ca. 600 B.C. the altar was the same size and shape as the earlier altar but moved to the east. Ca. 550 B.C. an enlarged altar with paved forecourt approximately on the same spot as the ca. 600 B.C. altar was connected to a contemporary Temple of Aphaia. The ca. 500 B.C. altar from the final building phase is described above [...],,"1990.30.0001,1990.33.0011a","1990.30.0001,1990.33.0011a",,,,,,,Perseus,,,"Aegina, Altar of Aphaia",,,,,,"<bibl>Rossiter 1981, 222</bibl>; <bibl>Ohly 1978, 26-29</bibl>",,,,Archaic,25. Archaic,,1.0,,,<P>Narrow rectangular shape. Ramp and a paved walkway connected altar and its paved forecourt to the east end of the temple.</P>,,,,Saronic Gulf,,,,,,,,,"<rs type=""building"">Aegina, Temple of Aphaia</rs>",,,,,,,,,"Altar; in the Sanctuary of Aphaia, to the east of the Temple of Aphaia.",,,Building,-500,ca.,
1990.30.0001,i1990300001,"aa_1,aa_2,aa_4,aa_5,aa_3876","Aerial view of sanctuary of Aphaia, Aegina, Altar of Aphaia, Amphipoleion, Sanctuary Walls, Temple",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/^50,/0/default.jpg","Photograph by Raymond V. Schoder, S.J., courtesy of Bolchazy-Carducci Publishers","Aerial view of sanctuary of Aphaia, Aegina, Altar of Aphaia, Amphipoleion, Sanctuary Walls, Temple","aa_1,aa_2,aa_4,aa_5,aa_3876",https://iiif.perseus.tufts.edu/iiif/3/1990.30.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.33.0011a,i1990330011a,aa_1,"Plan, Aegina, Altar of Aphaia",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1990.33.0011a/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1990.33.0011a/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1990.33.0011a/full/^50,/0/default.jpg","copyright C. H. Smith 1989, based on Weber (artist), in D. Ohly 1978 29 fig. 15","Plan, Aegina, Altar of Aphaia",aa_1,https://iiif.perseus.tufts.edu/iiif/3/1990.33.0011a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa_2,aa_2,,"Aegina, Amphipoleion",compound_object,compound_object,record,http://iiif.perseus.tufts.edu/iiif/3/1990.21.0038/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1990.21.0038/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1990.21.0038/full/^50,/0/default.jpg",,,,,,,,,,,,,House,,,,,,,,,"Aegina, Sanctuary of Aphaia",,,,-500.0,,,,,,,,,,,,,,,,,,,"<P>The sanctuary ca. 700 B.C. had an L-shaped Amphipoleion located at the southeastern corner of the sanctuary wall. The ca. 600 B.C. Amphipoleion consisted of one large room sharing its western wall with the contemporary propylon, it appears that the previous L-shaped Amphipoleion was altered but continued to be used. The Amphipoleion of ca. 550 B.C. was on the western side of the sanctuary and consisted of 2 rooms. The western room had an entrance through the peribolos wall into the [...]",,"1990.21.0038,1990.30.0001,1990.33.0007a","1990.21.0038,1990.30.0001,1990.33.0007a",,,,,,,Perseus,,,"Aegina, Amphipoleion",,,,,,"<P><bibl>Rossiter 1981, 222</bibl>; <bibl>Ohly 1978, 26-29</bibl>; <bibl>PECS, 20</bibl></P>",,,,Archaic,25. Archaic,,1.0,,,<P>A unit with the peribolos wall. Two part building consisting of a northern and a southern portion. Northern portion had several irregularly shaped rooms and communicated with the sanctuary through the peribolos wall. Southern portion consisted of a hall with 4 columns and 3 rooms behind.</P>,,,,Saronic Gulf,,,,,,,,,,,,,,,,,,"House (Priests' Quarters); located to the south and to the east of the propylon, at the southeast corner of the Sanctuary of Aphaia.",,,Building,-500,ca.,
1990.21.0038,i1990210038,aa_2,"Foundations of priests' quarters from NW, Aegina, Amphipoleion",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1990.21.0038/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1990.21.0038/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1990.21.0038/full/^50,/0/default.jpg",Photograph by Maria Daniels,"Foundations of priests' quarters from NW, Aegina, Amphipoleion",aa_2,https://iiif.perseus.tufts.edu/iiif/3/1990.21.0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.30.0001,i1990300001,"aa_1,aa_2,aa_4,aa_5,aa_3876","Aerial view of sanctuary of Aphaia, Aegina, Altar of Aphaia, Amphipoleion, Sanctuary Walls, Temple",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/^50,/0/default.jpg","Photograph by Raymond V. Schoder, S.J., courtesy of Bolchazy-Carducci Publishers","Aerial view of sanctuary of Aphaia, Aegina, Altar of Aphaia, Amphipoleion, Sanctuary Walls, Temple","aa_1,aa_2,aa_4,aa_5,aa_3876",https://iiif.perseus.tufts.edu/iiif/3/1990.30.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.33.0007a,i1990330007a,aa_2,"Plan, Aegina, Amphipoleion",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1990.33.0007a/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1990.33.0007a/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1990.33.0007a/full/^50,/0/default.jpg","copyright C. H. Smith 1989, based on Weber (artist), in D. Ohly 1978 29 fig. 15","Plan, Aegina, Amphipoleion",aa_2,https://iiif.perseus.tufts.edu/iiif/3/1990.33.0007a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa_3,aa_3,,"Aegina, Propylon",compound_object,compound_object,record,http://iiif.perseus.tufts.edu/iiif/3/1990.33.0008a/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1990.33.0008a/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1990.33.0008a/full/^50,/0/default.jpg",,,,,,,,,,,,,Gate,,,,,,,,,"Aegina, Sanctuary of Aphaia",,,,-500.0,,,,,,,,,,,,,,,,,,,"<P>The sanctuary underwent 4 building phases. Beginning in ca. 700 B.C. there was no propylon to the sanctuary. By ca. 600 B.C., there was a propylon in the wall facing the southeast. This propylon was distyle in antis at both ends and it shared its northeast wall with the priests' quarters. After the 3rd major building phase, ca. 550 B.C., the propylon had been moved farther south, but basically retained the same plan. The propylon of ca. 500 B.C., described above in the Plan description, [...]",,1990.33.0008a,1990.33.0008a,,,,,,,Perseus,,,"Aegina, Propylon",,,,,,"<P><bibl>Rossiter 1981, 222</bibl>; <bibl>Ohly 1978, 26-29</bibl>; <bibl>PECS, 20</bibl></P>",,,,Archaic,25. Archaic,,1.0,,,"<P>Pilasters on facade, both sides distyle in antis.</P>",,,,Saronic Gulf,,,,,,,,,,,,,,,,,,Gate; in the southeastern portion of the peribolos wall of the Sanctuary of Aphaia.,,,Building,-500,ca.,
1990.33.0008a,i1990330008a,aa_3,"Plan, Aegina, Propylon",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1990.33.0008a/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1990.33.0008a/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1990.33.0008a/full/^50,/0/default.jpg","copyright C. H. Smith 1989, based on Weber (artist), in D. Ohly 1978 29 fig. 15","Plan, Aegina, Propylon",aa_3,https://iiif.perseus.tufts.edu/iiif/3/1990.33.0008a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa_4,aa_4,,"Aegina, Sanctuary Walls",compound_object,compound_object,record,http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/^50,/0/default.jpg",,,,,,,,,,,,,Peribolos Wall,,,,,,,,,"Aegina, Sanctuary of Aphaia",,,,-500.0,,,,,,,,,,,,,,,,,,,"<P>Wall had 4 phases: ca. 700 B.C., ca. 600 B.C., ca. 550 B.C. and ca. 500 B.C., changing shape and size to accommodate the changes in buildings within the sanctuary.</P>",,1990.30.0001,1990.30.0001,,,,,,,Perseus,,,"Aegina, Sanctuary Walls",,,,,,"<P><bibl>Rossiter 1981, 222</bibl>; <bibl>Ohly 1978, 26-29</bibl>; <bibl>PECS, 20</bibl></P>",,,,Archaic,25. Archaic,,1.0,,,<P>Irregular in shape. Approximately rectangular.</P>,,,,Saronic Gulf,,,,,,,,,,,,,,,,,,Wall; surrounds the temple and other features of the Sanctuary of Aphaia.,,,Building,-500,ca.,
